ID;Województwo;Nazwa
"15";"32";"szczecinecki"
"16";"2";"polkowicki"
"16";"4";"tucholski"
"16";"6";"rycki"
"16";"10";"tomaszowskii"
"16";"12";"tarnowski"
"16";"14";"ostrowskii"
"16";"18";"rzeszowski"
"16";"22";"sztumski"
"16";"24";"zawierciański"
"16";"28";"piski"
"16";"30";"obornicki"
"16";"32";"świdwiński"
"17";"2";"strzeliński"
"17";"4";"wąbrzeski"
"17";"6";"świdnicki"
"17";"10";"wieluński"
"17";"12";"tatrzański"
"17";"14";"otwocki"
"17";"18";"sanocki"
"17";"24";"żywiecki"
"17";"28";"szczycieński"
"17";"30";"ostrowski"
"17";"32";"wałecki"
"18";"2";"średzkii"
"18";"4";"włocławski"
"18";"6";"tomaszowski"
"18";"10";"wieruszowski"
"18";"12";"wadowicki"
"18";"14";"piaseczyński"
"18";"18";"stalowowolski"
"18";"28";"gołdapski"
"18";"30";"ostrzeszowski"
"18";"32";"łobeski"
"19";"2";"świdnickii"
"19";"4";"żniński"
"19";"6";"włodawski"
"19";"10";"zduńskowolski"
"19";"12";"wielicki"
"19";"14";"płocki"
"19";"18";"strzyżowski"
"19";"28";"węgorzewski"
"19";"30";"pilski"
"20";"2";"trzebnicki"
"20";"6";"zamojski"
"20";"10";"zgierski"
"20";"14";"płoński"
"20";"18";"tarnobrzeski"
"20";"30";"pleszewski"
"21";"2";"wałbrzyski"
"21";"10";"brzeziński"
"21";"14";"pruszkowski"
"21";"18";"leski"
"21";"30";"poznański"
"22";"2";"wołowski"
"22";"14";"przasnyski"
"22";"30";"rawicki"
"23";"2";"wrocławski"
"23";"14";"przysuski"
"23";"30";"słupecki"
"24";"2";"ząbkowicki"
"24";"14";"pułtuski"
"24";"30";"szamotulski"
"25";"2";"zgorzelecki"
"25";"14";"radomski"
"25";"30";"średzki"
"26";"2";"złotoryjski"
"26";"14";"siedlecki"
"26";"30";"śremski"
"27";"14";"sierpecki"
"27";"30";"turecki"
"28";"14";"sochaczewski"
"28";"30";"wągrowiecki"
"29";"14";"sokołowski"
"29";"30";"wolsztyński"
"30";"14";"szydłowiecki"
"30";"30";"wrzesiński"
"31";"30";"złotowski"
"32";"14";"warszawski zachodni"
"33";"14";"węgrowski"
"34";"14";"wołomiński"
"35";"14";"wyszkowski"
"36";"14";"zwoleński"
"37";"14";"żuromiński"
"38";"14";"żyrardowski"
